,metabolite,intensity,temperature,strain
41,oxoproline,275945,37,datg32
42,oxalic acid,86,37,datg32
43,orotic acid,1245,37,datg32
44,ornithine,327767,37,datg32
45,oleic acid,927,37,datg32
46,N-methylalanine,8526,37,datg32
47,nicotinic acid,3069,37,datg32
48,nicotinamide,1418,37,datg32
49,n-epsilon-trimethyllysine,904,37,datg32
50,N-carbamylglutamate,504,37,datg32
51,myristic acid,880,37,datg32
52,myo-inositol,21186,37,datg32
53,methionine sulfoxide,45841,37,datg32
54,methionine,7602,37,datg32
55,methanolphosphate,22481,37,datg32
56,malic acid,12991,37,datg32
57,maleimide,4494,37,datg32
58,lysine,1131301,37,datg32
59,levoglucosan,641,37,datg32
60,leucine,401030,37,datg32
61,lauric acid,3397,37,datg32
62,lactulose,379,37,datg32
63,lactic acid,850,37,datg32
64,isothreonic acid,1619,37,datg32
65,isoleucine,340170,37,datg32
66,isocitric acid,3311,37,datg32
67,inositol-4-monophosphate,520,37,datg32
68,inosine,196,37,datg32
69,hydroxylamine,11026,37,datg32
70,hydroxycarbamate NIST,1314,37,datg32
71,homoserine,810,37,datg32
72,histidine,170059,37,datg32
73,hexose-6-phosphate,334,37,datg32
74,heptadecanoic acid,1245,37,datg32
75,guanosine,1127,37,datg32
76,guanine,614,37,datg32
77,glycyl-proline,2598,37,datg32
78,glycyl tyrosine,1121,37,datg32
79,glycolic acid,721,37,datg32
80,glycine,142171,37,datg32
81,glycerol-alpha-phosphate,67283,37,datg32
82,glycerol-3-galactoside,922,37,datg32
83,glycerol,262760,37,datg32
84,glyceric acid,2140,37,datg32
85,glutamine,101377,37,datg32
86,glutamic acid,536430,37,datg32
87,glucose-6-phosphate,1054,37,datg32
88,glucose-1-phosphate,1216,37,datg32
89,glucose,8598,37,datg32
90,gluconic acid,430,37,datg32
91,galactose,6776,37,datg32
92,galactinol,11902,37,datg32
93,fumaric acid,12848,37,datg32
94,fructose-6-phosphate,637,37,datg32
95,fructose,210,37,datg32
96,ethanol phosphate NIST,1151,37,datg32
97,ergosterol,815,37,datg32
98,cytidine-5-monophosphate,488,37,datg32
99,cysteine-glycine,2598,37,datg32
100,cysteine,1756,37,datg32
101,conduritol-beta-epoxide,165,37,datg32
102,citrulline,11078,37,datg32
103,citric acid,280774,37,datg32
104,butyrolactam NIST,2137,37,datg32
105,"butane-2,3-diol NIST",1286,37,datg32
106,biphenyl,987,37,datg32
107,beta-mannosylglycerate,1464,37,datg32
108,beta-glycerolphosphate,582,37,datg32
109,aspartic acid,82362,37,datg32
110,asparagine,19340,37,datg32
111,arachidic acid,2325,37,datg32
112,aminomalonate,4957,37,datg32
113,alpha-ketoglutarate,620,37,datg32
114,allothreonine,6824,37,datg32
115,alanine-alanine,2509,37,datg32
116,alanine,704948,37,datg32
117,adrenaline,2080,37,datg32
118,adenosine-5-monophosphate,17507,37,datg32
119,adenosine,6211,37,datg32
120,adenine,7508,37,datg32
121,aconitic acid,1013,37,datg32
122,5-methoxytryptamine,730,37,datg32
123,5'-deoxy-5'-methylthioadenosine,637,37,datg32
124,4-aminobutyric acid,1615,37,datg32
125,3-phosphoglycerate,1861,37,datg32
126,3-hydroxy-3-methylglutaric acid,346,37,datg32
127,3-aminoisobutyric acid,677,37,datg32
128,2-methylglyceric acid NIST,4866,37,datg32
129,2-hydroxyglutaric acid,758,37,datg32
130,"2,5-dihydroxypyrazine NIST",1492,37,datg32
0,xanthine,1338,37,datg32
1,valine,351425,37,datg32
2,uridine-5'-monophosphate,1784,37,datg32
3,uridine,521,37,datg32
4,urea,7330,37,datg32
5,uracil,4195,37,datg32
6,UDP-N-acetylglucosamine,394,37,datg32
7,tyrosol,891,37,datg32
8,tyrosine,171610,37,datg32
9,tryptophan,27431,37,datg32
10,trehalose-6-phosphate,439,37,datg32
11,trehalose,679973,37,datg32
12,trans-4-hydroxyproline,10688,37,datg32
13,thymine,223,37,datg32
14,threonine,113190,37,datg32
15,sulfuric acid,2033,37,datg32
16,sucrose,219,37,datg32
17,succinic acid,16095,37,datg32
18,stearic acid,127836,37,datg32
19,spermidine,2841,37,datg32
20,sorbitol,608,37,datg32
21,serine,147375,37,datg32
22,saccharopine,15841,37,datg32
23,ribonic acid,412,37,datg32
24,ribitol,515,37,datg32
25,pyruvic acid,356,37,datg32
26,pyrophosphate ,51519,37,datg32
27,putrescine,2392,37,datg32
28,pseudo uridine,682,37,datg32
29,"propane-1,3-diol NIST",224,37,datg32
30,proline,310883,37,datg32
31,pipecolinic acid,1492,37,datg32
32,phosphogluconic acid,600,37,datg32
33,phosphoenolpyruvate,396,37,datg32
34,phosphate,17749,37,datg32
35,phenylalanine,158359,37,datg32
36,pentadecanoic acid,1407,37,datg32
37,pelargonic acid,13829,37,datg32
38,parabanic acid NIST,1978,37,datg32
39,palmitoleic acid,2189,37,datg32
40,palmitic acid,20148,37,datg32
41,oxoproline,334085,37,datg32
42,oxalic acid,699,37,datg32
43,orotic acid,3108,37,datg32
44,ornithine,477119,37,datg32
45,oleic acid,389,37,datg32
46,N-methylalanine,5195,37,datg32
47,nicotinic acid,5154,37,datg32
48,nicotinamide,962,37,datg32
49,n-epsilon-trimethyllysine,472,37,datg32
50,N-carbamylglutamate,396,37,datg32
51,myristic acid,800,37,datg32
52,myo-inositol,14290,37,datg32
53,methionine sulfoxide,37826,37,datg32
54,methionine,18067,37,datg32
55,methanolphosphate,12030,37,datg32
56,malic acid,8700,37,datg32
57,maleimide,4418,37,datg32
58,lysine,1030270,37,datg32
59,levoglucosan,683,37,datg32
60,leucine,337811,37,datg32
61,lauric acid,3974,37,datg32
62,lactulose,519,37,datg32
63,lactic acid,1064,37,datg32
64,isothreonic acid,1943,37,datg32
65,isoleucine,439945,37,datg32
66,isocitric acid,1722,37,datg32
67,inositol-4-monophosphate,377,37,datg32
68,inosine,758,37,datg32
69,hydroxylamine,11120,37,datg32
70,hydroxycarbamate NIST,1150,37,datg32
71,homoserine,1014,37,datg32
72,histidine,156566,37,datg32
73,hexose-6-phosphate,354,37,datg32
74,heptadecanoic acid,944,37,datg32
75,guanosine,1068,37,datg32
76,guanine,966,37,datg32
77,glycyl-proline,6284,37,datg32
78,glycyl tyrosine,890,37,datg32
79,glycolic acid,1112,37,datg32
80,glycine,126160,37,datg32
81,glycerol-alpha-phosphate,49422,37,datg32
82,glycerol-3-galactoside,644,37,datg32
83,glycerol,831790,37,datg32
84,glyceric acid,4633,37,datg32
85,glutamine,83886,37,datg32
86,glutamic acid,587053,37,datg32
87,glucose-6-phosphate,1384,37,datg32
88,glucose-1-phosphate,964,37,datg32
89,glucose,4244,37,datg32
90,gluconic acid,268,37,datg32
91,galactose,3396,37,datg32
92,galactinol,6113,37,datg32
93,fumaric acid,7462,37,datg32
94,fructose-6-phosphate,666,37,datg32
95,fructose,184,37,datg32
96,ethanol phosphate NIST,1561,37,datg32
97,ergosterol,599,37,datg32
98,cytidine-5-monophosphate,293,37,datg32
99,cysteine-glycine,1750,37,datg32
100,cysteine,1545,37,datg32
101,conduritol-beta-epoxide,269,37,datg32
102,citrulline,7715,37,datg32
103,citric acid,148380,37,datg32
104,butyrolactam NIST,2113,37,datg32
105,"butane-2,3-diol NIST",1044,37,datg32
106,biphenyl,709,37,datg32
107,beta-mannosylglycerate,1062,37,datg32
108,beta-glycerolphosphate,657,37,datg32
109,aspartic acid,101522,37,datg32
110,asparagine,19934,37,datg32
111,arachidic acid,1997,37,datg32
112,aminomalonate,3781,37,datg32
113,alpha-ketoglutarate,444,37,datg32
114,allothreonine,1848,37,datg32
115,alanine-alanine,3926,37,datg32
116,alanine,763624,37,datg32
117,adrenaline,2338,37,datg32
118,adenosine-5-monophosphate,12823,37,datg32
119,adenosine,6903,37,datg32
120,adenine,4319,37,datg32
121,aconitic acid,310,37,datg32
122,5-methoxytryptamine,1001,37,datg32
123,5'-deoxy-5'-methylthioadenosine,371,37,datg32
124,4-aminobutyric acid,3580,37,datg32
125,3-phosphoglycerate,903,37,datg32
126,3-hydroxy-3-methylglutaric acid,221,37,datg32
127,3-aminoisobutyric acid,143,37,datg32
128,2-methylglyceric acid NIST,8404,37,datg32
129,2-hydroxyglutaric acid,937,37,datg32
130,"2,5-dihydroxypyrazine NIST",1674,37,datg32
0,xanthine,970,37,datg32
1,valine,329279,37,datg32
2,uridine-5'-monophosphate,2409,37,datg32
3,uridine,302,37,datg32
4,urea,10875,37,datg32
5,uracil,4088,37,datg32
6,UDP-N-acetylglucosamine,950,37,datg32
7,tyrosol,2452,37,datg32
8,tyrosine,155764,37,datg32
9,tryptophan,20853,37,datg32
10,trehalose-6-phosphate,374,37,datg32
11,trehalose,1043996,37,datg32
12,trans-4-hydroxyproline,5804,37,datg32
13,thymine,274,37,datg32
14,threonine,128226,37,datg32
15,sulfuric acid,139,37,datg32
16,sucrose,171,37,datg32
17,succinic acid,31805,37,datg32
18,stearic acid,103189,37,datg32
19,spermidine,1679,37,datg32
20,sorbitol,1546,37,datg32
21,serine,142918,37,datg32
22,saccharopine,26384,37,datg32
23,ribonic acid,331,37,datg32
24,ribitol,551,37,datg32
25,pyruvic acid,82,37,datg32
26,pyrophosphate ,118032,37,datg32
27,putrescine,1111,37,datg32
28,pseudo uridine,741,37,datg32
29,"propane-1,3-diol NIST",304,37,datg32
30,proline,440021,37,datg32
31,pipecolinic acid,5933,37,datg32
32,phosphogluconic acid,857,37,datg32
33,phosphoenolpyruvate,905,37,datg32
34,phosphate,28024,37,datg32
35,phenylalanine,102620,37,datg32
36,pentadecanoic acid,970,37,datg32
37,pelargonic acid,12956,37,datg32
38,parabanic acid NIST,1231,37,datg32
39,palmitoleic acid,3559,37,datg32
40,palmitic acid,18006,37,datg32
41,oxoproline,211418,37,datg32
42,oxalic acid,312,37,datg32
43,orotic acid,1026,37,datg32
44,ornithine,245442,37,datg32
45,oleic acid,755,37,datg32
46,N-methylalanine,12690,37,datg32
47,nicotinic acid,2911,37,datg32
48,nicotinamide,1640,37,datg32
49,n-epsilon-trimethyllysine,664,37,datg32
50,N-carbamylglutamate,319,37,datg32
51,myristic acid,630,37,datg32
52,myo-inositol,17222,37,datg32
53,methionine sulfoxide,25444,37,datg32
54,methionine,17284,37,datg32
55,methanolphosphate,16768,37,datg32
56,malic acid,13477,37,datg32
57,maleimide,3334,37,datg32
58,lysine,873420,37,datg32
59,levoglucosan,902,37,datg32
60,leucine,326811,37,datg32
61,lauric acid,2960,37,datg32
62,lactulose,331,37,datg32
63,lactic acid,765,37,datg32
64,isothreonic acid,969,37,datg32
65,isoleucine,399092,37,datg32
66,isocitric acid,3284,37,datg32
67,inositol-4-monophosphate,197,37,datg32
68,inosine,380,37,datg32
69,hydroxylamine,5695,37,datg32
70,hydroxycarbamate NIST,681,37,datg32
71,homoserine,527,37,datg32
72,histidine,211006,37,datg32
73,hexose-6-phosphate,473,37,datg32
74,heptadecanoic acid,849,37,datg32
75,guanosine,868,37,datg32
76,guanine,615,37,datg32
77,glycyl-proline,1763,37,datg32
78,glycyl tyrosine,925,37,datg32
79,glycolic acid,752,37,datg32
80,glycine,224855,37,datg32
81,glycerol-alpha-phosphate,64263,37,datg32
82,glycerol-3-galactoside,964,37,datg32
83,glycerol,663610,37,datg32
84,glyceric acid,1088,37,datg32
85,glutamine,111853,37,datg32
86,glutamic acid,594776,37,datg32
87,glucose-6-phosphate,2902,37,datg32
88,glucose-1-phosphate,1993,37,datg32
89,glucose,7740,37,datg32
90,gluconic acid,136,37,datg32
91,galactose,6272,37,datg32
92,galactinol,6855,37,datg32
93,fumaric acid,12721,37,datg32
94,fructose-6-phosphate,1282,37,datg32
95,fructose,197,37,datg32
96,ethanol phosphate NIST,1214,37,datg32
97,ergosterol,1239,37,datg32
98,cytidine-5-monophosphate,321,37,datg32
99,cysteine-glycine,3005,37,datg32
100,cysteine,2955,37,datg32
101,conduritol-beta-epoxide,126,37,datg32
102,citrulline,9662,37,datg32
103,citric acid,280252,37,datg32
104,butyrolactam NIST,1211,37,datg32
105,"butane-2,3-diol NIST",1091,37,datg32
106,biphenyl,702,37,datg32
107,beta-mannosylglycerate,1135,37,datg32
108,beta-glycerolphosphate,614,37,datg32
109,aspartic acid,68645,37,datg32
110,asparagine,20425,37,datg32
111,arachidic acid,1776,37,datg32
112,aminomalonate,5564,37,datg32
113,alpha-ketoglutarate,1696,37,datg32
114,allothreonine,9220,37,datg32
115,alanine-alanine,2345,37,datg32
116,alanine,697183,37,datg32
117,adrenaline,1234,37,datg32
118,adenosine-5-monophosphate,18203,37,datg32
119,adenosine,2469,37,datg32
120,adenine,8806,37,datg32
121,aconitic acid,512,37,datg32
122,5-methoxytryptamine,1316,37,datg32
123,5'-deoxy-5'-methylthioadenosine,721,37,datg32
124,4-aminobutyric acid,2203,37,datg32
125,3-phosphoglycerate,1955,37,datg32
126,3-hydroxy-3-methylglutaric acid,358,37,datg32
127,3-aminoisobutyric acid,174,37,datg32
128,2-methylglyceric acid NIST,3823,37,datg32
129,2-hydroxyglutaric acid,864,37,datg32
130,"2,5-dihydroxypyrazine NIST",808,37,datg32
0,xanthine,1151,37,datg32
1,valine,380252,37,datg32
2,uridine-5'-monophosphate,1442,37,datg32
3,uridine,664,37,datg32
4,urea,15536,37,datg32
5,uracil,1513,37,datg32
6,UDP-N-acetylglucosamine,1133,37,datg32
7,tyrosol,2062,37,datg32
8,tyrosine,163921,37,datg32
9,tryptophan,5329,37,datg32
10,trehalose-6-phosphate,426,37,datg32
11,trehalose,873334,37,datg32
12,trans-4-hydroxyproline,5571,37,datg32
13,thymine,302,37,datg32
14,threonine,109876,37,datg32
15,sulfuric acid,224,37,datg32
16,sucrose,267,37,datg32
17,succinic acid,21887,37,datg32
18,stearic acid,126736,37,datg32
19,spermidine,1251,37,datg32
20,sorbitol,763,37,datg32
21,serine,131869,37,datg32
22,saccharopine,31634,37,datg32
23,ribonic acid,455,37,datg32
24,ribitol,669,37,datg32
25,pyruvic acid,470,37,datg32
26,pyrophosphate ,78592,37,datg32
27,putrescine,1859,37,datg32
28,pseudo uridine,1041,37,datg32
29,"propane-1,3-diol NIST",409,37,datg32
30,proline,287664,37,datg32
31,pipecolinic acid,6045,37,datg32
32,phosphogluconic acid,242,37,datg32
33,phosphoenolpyruvate,1111,37,datg32
34,phosphate,33003,37,datg32
35,phenylalanine,108250,37,datg32
36,pentadecanoic acid,960,37,datg32
37,pelargonic acid,14947,37,datg32
38,parabanic acid NIST,1459,37,datg32
39,palmitoleic acid,3109,37,datg32
40,palmitic acid,21434,37,datg32
41,oxoproline,217174,37,datg32
42,oxalic acid,245,37,datg32
43,orotic acid,1477,37,datg32
44,ornithine,304441,37,datg32
45,oleic acid,397,37,datg32
46,N-methylalanine,10992,37,datg32
47,nicotinic acid,3058,37,datg32
48,nicotinamide,1038,37,datg32
49,n-epsilon-trimethyllysine,1076,37,datg32
50,N-carbamylglutamate,445,37,datg32
51,myristic acid,860,37,datg32
52,myo-inositol,22065,37,datg32
53,methionine sulfoxide,37931,37,datg32
54,methionine,10614,37,datg32
55,methanolphosphate,27891,37,datg32
56,malic acid,14748,37,datg32
57,maleimide,3631,37,datg32
58,lysine,1220056,37,datg32
59,levoglucosan,1045,37,datg32
60,leucine,462902,37,datg32
61,lauric acid,5091,37,datg32
62,lactulose,425,37,datg32
63,lactic acid,808,37,datg32
64,isothreonic acid,1307,37,datg32
65,isoleucine,312697,37,datg32
66,isocitric acid,3368,37,datg32
67,inositol-4-monophosphate,565,37,datg32
68,inosine,399,37,datg32
69,hydroxylamine,5562,37,datg32
70,hydroxycarbamate NIST,710,37,datg32
71,homoserine,719,37,datg32
72,histidine,209679,37,datg32
73,hexose-6-phosphate,527,37,datg32
74,heptadecanoic acid,717,37,datg32
75,guanosine,864,37,datg32
76,guanine,828,37,datg32
77,glycyl-proline,1814,37,datg32
78,glycyl tyrosine,940,37,datg32
79,glycolic acid,775,37,datg32
80,glycine,280463,37,datg32
81,glycerol-alpha-phosphate,68627,37,datg32
82,glycerol-3-galactoside,1118,37,datg32
83,glycerol,302908,37,datg32
84,glyceric acid,1678,37,datg32
85,glutamine,116474,37,datg32
86,glutamic acid,617738,37,datg32
87,glucose-6-phosphate,1159,37,datg32
88,glucose-1-phosphate,1662,37,datg32
89,glucose,9195,37,datg32
90,gluconic acid,219,37,datg32
91,galactose,7568,37,datg32
92,galactinol,3856,37,datg32
93,fumaric acid,14609,37,datg32
94,fructose-6-phosphate,637,37,datg32
95,fructose,265,37,datg32
96,ethanol phosphate NIST,1210,37,datg32
97,ergosterol,696,37,datg32
98,cytidine-5-monophosphate,582,37,datg32
99,cysteine-glycine,2913,37,datg32
100,cysteine,2512,37,datg32
101,conduritol-beta-epoxide,324,37,datg32
102,citrulline,10594,37,datg32
103,citric acid,297599,37,datg32
104,butyrolactam NIST,1534,37,datg32
105,"butane-2,3-diol NIST",574,37,datg32
106,biphenyl,1211,37,datg32
107,beta-mannosylglycerate,1151,37,datg32
108,beta-glycerolphosphate,1013,37,datg32
109,aspartic acid,70071,37,datg32
110,asparagine,20757,37,datg32
111,arachidic acid,1903,37,datg32
112,aminomalonate,4417,37,datg32
113,alpha-ketoglutarate,1164,37,datg32
114,allothreonine,7541,37,datg32
115,alanine-alanine,1468,37,datg32
116,alanine,777170,37,datg32
117,adrenaline,1567,37,datg32
118,adenosine-5-monophosphate,17969,37,datg32
119,adenosine,3684,37,datg32
120,adenine,8965,37,datg32
121,aconitic acid,1091,37,datg32
122,5-methoxytryptamine,1308,37,datg32
123,5'-deoxy-5'-methylthioadenosine,699,37,datg32
124,4-aminobutyric acid,1912,37,datg32
125,3-phosphoglycerate,3692,37,datg32
126,3-hydroxy-3-methylglutaric acid,345,37,datg32
127,3-aminoisobutyric acid,264,37,datg32
128,2-methylglyceric acid NIST,3970,37,datg32
129,2-hydroxyglutaric acid,968,37,datg32
130,"2,5-dihydroxypyrazine NIST",864,37,datg32
0,xanthine,1157,37,datg32
1,valine,398094,37,datg32
2,uridine-5'-monophosphate,2674,37,datg32
3,uridine,297,37,datg32
4,urea,11822,37,datg32
5,uracil,3641,37,datg32
6,UDP-N-acetylglucosamine,1066,37,datg32
7,tyrosol,3778,37,datg32
8,tyrosine,165524,37,datg32
9,tryptophan,10156,37,datg32
10,trehalose-6-phosphate,463,37,datg32
11,trehalose,285903,37,datg32
12,trans-4-hydroxyproline,8119,37,datg32
13,thymine,364,37,datg32
14,threonine,143348,37,datg32
15,sulfuric acid,171,37,datg32
16,sucrose,127,37,datg32
17,succinic acid,35008,37,datg32
18,stearic acid,201517,37,datg32
19,spermidine,1142,37,datg32
20,sorbitol,1050,37,datg32
21,serine,149660,37,datg32
22,saccharopine,50147,37,datg32
23,ribonic acid,449,37,datg32
24,ribitol,762,37,datg32
25,pyruvic acid,339,37,datg32
26,pyrophosphate ,127419,37,datg32
27,putrescine,1520,37,datg32
28,pseudo uridine,911,37,datg32
29,"propane-1,3-diol NIST",393,37,datg32
30,proline,439775,37,datg32
31,pipecolinic acid,5662,37,datg32
32,phosphogluconic acid,133,37,datg32
33,phosphoenolpyruvate,1089,37,datg32
34,phosphate,34101,37,datg32
35,phenylalanine,100355,37,datg32
36,pentadecanoic acid,1491,37,datg32
37,pelargonic acid,14909,37,datg32
38,parabanic acid NIST,1177,37,datg32
39,palmitoleic acid,2774,37,datg32
40,palmitic acid,29849,37,datg32
41,oxoproline,204758,37,datg32
42,oxalic acid,113,37,datg32
43,orotic acid,2195,37,datg32
44,ornithine,259095,37,datg32
45,oleic acid,686,37,datg32
46,N-methylalanine,12225,37,datg32
47,nicotinic acid,2292,37,datg32
48,nicotinamide,1587,37,datg32
49,n-epsilon-trimethyllysine,856,37,datg32
50,N-carbamylglutamate,309,37,datg32
51,myristic acid,891,37,datg32
52,myo-inositol,19946,37,datg32
53,methionine sulfoxide,28814,37,datg32
54,methionine,12368,37,datg32
55,methanolphosphate,28024,37,datg32
56,malic acid,16499,37,datg32
57,maleimide,2618,37,datg32
58,lysine,1090693,37,datg32
59,levoglucosan,1521,37,datg32
60,leucine,391113,37,datg32
61,lauric acid,8733,37,datg32
62,lactulose,416,37,datg32
63,lactic acid,518,37,datg32
64,isothreonic acid,1185,37,datg32
65,isoleucine,343436,37,datg32
66,isocitric acid,3841,37,datg32
67,inositol-4-monophosphate,522,37,datg32
68,inosine,346,37,datg32
69,hydroxylamine,4062,37,datg32
70,hydroxycarbamate NIST,424,37,datg32
71,homoserine,594,37,datg32
72,histidine,205487,37,datg32
73,hexose-6-phosphate,765,37,datg32
74,heptadecanoic acid,1329,37,datg32
75,guanosine,776,37,datg32
76,guanine,474,37,datg32
77,glycyl-proline,1612,37,datg32
78,glycyl tyrosine,767,37,datg32
79,glycolic acid,440,37,datg32
80,glycine,378695,37,datg32
81,glycerol-alpha-phosphate,73423,37,datg32
82,glycerol-3-galactoside,746,37,datg32
83,glycerol,342194,37,datg32
84,glyceric acid,958,37,datg32
85,glutamine,106995,37,datg32
86,glutamic acid,826185,37,datg32
87,glucose-6-phosphate,1790,37,datg32
88,glucose-1-phosphate,2194,37,datg32
89,glucose,6888,37,datg32
90,gluconic acid,307,37,datg32
91,galactose,5580,37,datg32
92,galactinol,11052,37,datg32
93,fumaric acid,19444,37,datg32
94,fructose-6-phosphate,1025,37,datg32
95,fructose,207,37,datg32
96,ethanol phosphate NIST,1511,37,datg32
97,ergosterol,1242,37,datg32
98,cytidine-5-monophosphate,647,37,datg32
99,cysteine-glycine,2512,37,datg32
100,cysteine,3373,37,datg32
101,conduritol-beta-epoxide,184,37,datg32
102,citrulline,8977,37,datg32
103,citric acid,360308,37,datg32
104,butyrolactam NIST,1302,37,datg32
105,"butane-2,3-diol NIST",1371,37,datg32
106,biphenyl,810,37,datg32
107,beta-mannosylglycerate,1422,37,datg32
108,beta-glycerolphosphate,997,37,datg32
109,aspartic acid,61661,37,datg32
110,asparagine,22315,37,datg32
111,arachidic acid,1957,37,datg32
112,aminomalonate,4694,37,datg32
113,alpha-ketoglutarate,1389,37,datg32
114,allothreonine,8072,37,datg32
115,alanine-alanine,2430,37,datg32
116,alanine,808304,37,datg32
117,adrenaline,1022,37,datg32
118,adenosine-5-monophosphate,17900,37,datg32
119,adenosine,2484,37,datg32
120,adenine,11149,37,datg32
121,aconitic acid,918,37,datg32
122,5-methoxytryptamine,1221,37,datg32
123,5'-deoxy-5'-methylthioadenosine,814,37,datg32
124,4-aminobutyric acid,2352,37,datg32
125,3-phosphoglycerate,1875,37,datg32
126,3-hydroxy-3-methylglutaric acid,391,37,datg32
127,3-aminoisobutyric acid,268,37,datg32
128,2-methylglyceric acid NIST,4151,37,datg32
129,2-hydroxyglutaric acid,1030,37,datg32
130,"2,5-dihydroxypyrazine NIST",1220,37,datg32
